# tau,g1,g1^2
2.760000000000000000e+03,3.870000000000000107e-01,1.497690000000000132e-01
2.920000000000000000e+03,3.689999999999999947e-01,1.361610000000000043e-01
3.080000000000000000e+03,3.507000000000000117e-01,1.229904900000000079e-01
3.240000000000000000e+03,3.327999999999999847e-01,1.107558399999999943e-01
3.420000000000000000e+03,3.145000000000000018e-01,9.891025000000000511e-02
3.600000000000000000e+03,2.967000000000000193e-01,8.803089000000001441e-02
3.800000000000000000e+03,2.791000000000000147e-01,7.789681000000001077e-02
4.010000000000000000e+03,2.614000000000000212e-01,6.832996000000000902e-02
4.220000000000000000e+03,2.444999999999999951e-01,5.978025000000000005e-02
4.460000000000000000e+03,2.273999999999999910e-01,5.171075999999999451e-02
4.700000000000000000e+03,2.111000000000000099e-01,4.456321000000000587e-02
4.960000000000000000e+03,1.952000000000000124e-01,3.810304000000000468e-02
5.220000000000000000e+03,1.796999999999999986e-01,3.229209000000000246e-02
5.510000000000000000e+03,1.648000000000000020e-01,2.715904000000000235e-02
5.810000000000000000e+03,1.504000000000000059e-01,2.262016000000000027e-02
6.130000000000000000e+03,1.365000000000000102e-01,1.863225000000000298e-02
6.460000000000000000e+03,1.233999999999999958e-01,1.522755999999999936e-02
6.820000000000000000e+03,1.111000000000000043e-01,1.234321000000000029e-02
7.180000000000000000e+03,9.950000000000000511e-02,9.900250000000001063e-03
7.580000000000000000e+03,8.848999999999999921e-02,7.830480100000000374e-03
7.990000000000000000e+03,7.839000000000000135e-02,6.144992100000000630e-03
8.420000000000000000e+03,6.897999999999999965e-02,4.758240399999999655e-03
